2017-05-02 13:20:34,142 [main] INFO  marytts.PStream Gradient GV optimization for feature: (0)  number of iterations=21
2017-05-02 13:20:34,142 [main] INFO  marytts.PStream Gradient GV optimization for feature: (1)  number of iterations=1
2017-05-02 13:20:34,143 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,143 [main] INFO  marytts.PStream Gradient GV optimization for feature: (2)  number of iterations=21
2017-05-02 13:20:34,144 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,144 [main] INFO  marytts.PStream Gradient GV optimization for feature: (3)  number of iterations=21
2017-05-02 13:20:34,144 [main] INFO  marytts.PStream Gradient GV optimization for feature: (4)  number of iterations=1
2017-05-02 13:20:34,145 [main] INFO  marytts.PStream Gradient GV optimization for feature: (5)  number of iterations=2
2017-05-02 13:20:34,146 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,146 [main] INFO  marytts.PStream Gradient GV optimization for feature: (6)  number of iterations=21
2017-05-02 13:20:34,147 [main] INFO  marytts.PStream Gradient GV optimization for feature: (7)  number of iterations=19
2017-05-02 13:20:34,149 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,149 [main] INFO  marytts.PStream Gradient GV optimization for feature: (8)  number of iterations=21
2017-05-02 13:20:34,151 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,151 [main] INFO  marytts.PStream Gradient GV optimization for feature: (9)  number of iterations=21
2017-05-02 13:20:34,151 [main] INFO  marytts.PStream Gradient GV optimization for feature: (10)  number of iterations=14
2017-05-02 13:20:34,152 [main] INFO  marytts.PStream Gradient GV optimization for feature: (11)  number of iterations=3
2017-05-02 13:20:34,153 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,153 [main] INFO  marytts.PStream Gradient GV optimization for feature: (12)  number of iterations=21
2017-05-02 13:20:34,154 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,154 [main] INFO  marytts.PStream Gradient GV optimization for feature: (13)  number of iterations=21
2017-05-02 13:20:34,155 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,155 [main] INFO  marytts.PStream Gradient GV optimization for feature: (14)  number of iterations=21
2017-05-02 13:20:34,156 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
2017-05-02 13:20:34,156 [main] INFO  marytts.PStream Gradient GV optimization for feature: (15)  number of iterations=21
2017-05-02 13:20:34,157 [main] INFO  marytts.PStream    optimization stopped by reaching max number of iterations (no global variance applied)
